Время	Гармоника_1	Гармоника_2	Гармоника_3	
0	0.207055	-0.3	3.16986e-15	
0.0001	0.231225	-0.266781	-0.0782172	
0.0002	0.255167	-0.232509	-0.154508	
0.0003	0.278858	-0.19732	-0.226995	
0.0004	0.302273	-0.161352	-0.293893	
0.0005	0.325389	-0.124747	-0.353553	
0.0006	0.348185	-0.0876498	-0.404508	
0.0007	0.370637	-0.0502067	-0.445503	
0.0008	0.392723	-0.0125655	-0.475528	
0.0009	0.414422	0.0251254	-0.493844	
0.001	0.435711	0.0627171	-0.5	
0.0011	0.456571	0.100061	-0.493844	
0.0012	0.47698	0.137011	-0.475528	
0.0013	0.496918	0.173419	-0.445503	
0.0014	0.516366	0.209143	-0.404508	
0.0015	0.535304	0.244042	-0.353553	
0.0016	0.553715	0.277978	-0.293893	
0.0017	0.571578	0.310816	-0.226995	
0.0018	0.588878	0.342428	-0.154508	
0.0019	0.605596	0.372689	-0.0782172	
0.002	0.621717	0.401478	-3.23109e-15	
0.0021	0.637224	0.428684	0.0782172	
0.0022	0.652102	0.454197	0.154508	
0.0023	0.666337	0.477918	0.226995	
0.0024	0.679914	0.499753	0.293893	
0.0025	0.69282	0.519615	0.353553	
0.0026	0.705043	0.537427	0.404508	
0.0027	0.716569	0.553118	0.445503	
0.0028	0.727389	0.566626	0.475528	
0.0029	0.737491	0.577898	0.493844	
0.003	0.746864	0.586889	0.5	
0.0031	0.755501	0.593563	0.493844	
0.0032	0.763392	0.597896	0.475528	
0.0033	0.77053	0.599868	0.445503	
0.0034	0.776907	0.599474	0.404508	
0.0035	0.782518	0.596713	0.353553	
0.0036	0.787356	0.591598	0.293893	
0.0037	0.791418	0.584147	0.226995	
0.0038	0.794698	0.574392	0.154508	
0.0039	0.797194	0.562369	0.0782172	
0.004	0.798904	0.548127	3.73641e-15	
0.0041	0.799825	0.531722	-0.0782172	
0.0042	0.799956	0.513219	-0.154508	
0.0043	0.799298	0.49269	-0.226995	
0.0044	0.797852	0.470216	-0.293893	
0.0045	0.795618	0.445887	-0.353553	
0.0046	0.792598	0.419798	-0.404508	
0.0047	0.788797	0.392052	-0.445503	
0.0048	0.784217	0.362759	-0.475528	
0.0049	0.778863	0.332035	-0.493844	
0.005	0.772741	0.3	-0.5	
0.0051	0.765856	0.266781	-0.493844	
0.0052	0.758215	0.232509	-0.475528	
0.0053	0.749826	0.19732	-0.445503	
0.0054	0.740696	0.161352	-0.404508	
0.0055	0.730836	0.124747	-0.353553	
0.0056	0.720255	0.0876498	-0.293893	
0.0057	0.708963	0.0502067	-0.226995	
0.0058	0.696971	0.0125655	-0.154508	
0.0059	0.684291	-0.0251254	-0.0782172	
0.006	0.670936	-0.0627171	-3.79764e-15	
0.0061	0.656919	-0.100061	0.0782172	
0.0062	0.642254	-0.137011	0.154508	
0.0063	0.626955	-0.173419	0.226995	
0.0064	0.611037	-0.209143	0.293893	
0.0065	0.594516	-0.244042	0.353553	
0.0066	0.577408	-0.277978	0.404508	
0.0067	0.559731	-0.310816	0.445503	
0.0068	0.541501	-0.342428	0.475528	
0.0069	0.522736	-0.372689	0.493844	
0.007	0.503456	-0.401478	0.5	
0.0071	0.483679	-0.428684	0.493844	
0.0072	0.463425	-0.454197	0.475528	
0.0073	0.442713	-0.477918	0.445503	
0.0074	0.421565	-0.499753	0.404508	
0.0075	0.4	-0.519615	0.353553	
0.0076	0.378041	-0.537427	0.293893	
0.0077	0.355708	-0.553118	0.226995	
0.0078	0.333025	-0.566626	0.154508	
0.0079	0.310012	-0.577898	0.0782172	
0.008	0.286694	-0.586889	3.85888e-15	
0.0081	0.263093	-0.593563	-0.0782172	
0.0082	0.239233	-0.597896	-0.154508	
0.0083	0.215136	-0.599868	-0.226995	
0.0084	0.190827	-0.599474	-0.293893	
0.0085	0.166329	-0.596713	-0.353553	
0.0086	0.141668	-0.591598	-0.404508	
0.0087	0.116866	-0.584147	-0.445503	
0.0088	0.0919497	-0.574392	-0.475528	
0.0089	0.0669423	-0.562369	-0.493844	
0.009	0.0418688	-0.548127	-0.5	
0.0091	0.0167539	-0.531722	-0.493844	
0.0092	-0.00837743	-0.513219	-0.475528	
0.0093	-0.0335005	-0.49269	-0.445503	
0.0094	-0.0585906	-0.470216	-0.404508	
0.0095	-0.0836228	-0.445887	-0.353553	
0.0096	-0.108572	-0.419798	-0.293893	
0.0097	-0.133415	-0.392052	-0.226995	
0.0098	-0.158126	-0.362759	-0.154508	
0.0099	-0.182681	-0.332035	-0.0782172	
0.01	-0.207055	-0.3	-3.92011e-15	
0.0101	-0.231225	-0.266781	0.0782172	
0.0102	-0.255167	-0.232509	0.154508	
0.0103	-0.278858	-0.19732	0.226995	
0.0104	-0.302273	-0.161352	0.293893	
0.0105	-0.325389	-0.124747	0.353553	
0.0106	-0.348185	-0.0876498	0.404508	
0.0107	-0.370637	-0.0502067	0.445503	
