Время	Гармоника_1	Гармоника_2	Результирующая_гармоника
0	0	0.494975	0.494975
0.001	0.0314108	0.525078	0.556489
0.002	0.0627905	0.553109	0.615899
0.003	0.0941083	0.578956	0.673065
0.004	0.125333	0.602519	0.727853
0.005	0.156434	0.623705	0.780139
0.006	0.187381	0.642428	0.82981
0.007	0.218143	0.658617	0.87676
0.008	0.24869	0.672206	0.920895
0.009	0.278991	0.683142	0.962133
0.01	0.309017	0.691382	1.0004
0.011	0.338738	0.696893	1.03563
0.012	0.368125	0.699655	1.06778
0.013	0.397148	0.699655	1.0968
0.014	0.425779	0.696893	1.12267
0.015	0.45399	0.691382	1.14537
0.016	0.481754	0.683142	1.1649
0.017	0.509041	0.672206	1.18125
0.018	0.535827	0.658617	1.19444
0.019	0.562083	0.642428	1.20451
0.02	0.587785	0.623705	1.21149
0.021	0.612907	0.602519	1.21543
0.022	0.637424	0.578956	1.21638
0.023	0.661312	0.553109	1.21442
0.024	0.684547	0.525078	1.20962
0.025	0.707107	0.494975	1.20208
0.026	0.728969	0.462918	1.19189
0.027	0.750111	0.429035	1.17915
0.028	0.770513	0.393458	1.16397
0.029	0.790155	0.356329	1.14648
0.03	0.809017	0.317793	1.12681
0.031	0.827081	0.278004	1.10508
0.032	0.844328	0.237117	1.08144
0.033	0.860742	0.195294	1.05604
0.034	0.876307	0.1527	1.02901
0.035	0.891007	0.109504	1.00051
0.036	0.904827	0.0658758	0.970703
0.037	0.917755	0.0219875	0.939742
0.038	0.929776	-0.0219875	0.907789
0.039	0.940881	-0.0658758	0.875005
0.04	0.951057	-0.109504	0.841552
0.041	0.960294	-0.1527	0.807593
0.042	0.968583	-0.195294	0.773289
0.043	0.975917	-0.237117	0.7388
0.044	0.982287	-0.278004	0.704284
0.045	0.987688	-0.317793	0.669895
0.046	0.992115	-0.356329	0.635786
0.047	0.995562	-0.393458	0.602104
0.048	0.998027	-0.429035	0.568992
0.049	0.999507	-0.462918	0.536588
